study_year,region_code,region_name,region_display,standardised_rate_per_100000,standardised_rate_lower_per_100000,standardised_rate_upper_per_100000,standardised_plot_rate_per_100000,standardisation_status
2024,53,Bretagne,Bretagne,704.1683573431568,704.1683573431568,704.1683573431568,704.1683573431568,point_with_structural_zero
2025,53,Bretagne,Bretagne,868.1991852659177,868.1991852659177,868.1991852659177,868.1991852659177,point_with_structural_zero
2020,75,Nouvelle-Aquitaine,Nouvelle-Aquitaine,,578.8795036387327,579.0884663887459,578.9839850137394,interval_due_to_unknown_age
2021,75,Nouvelle-Aquitaine,Nouvelle-Aquitaine,,704.4006402171925,705.0130423563941,704.7068412867933,interval_due_to_unknown_age
2022,75,Nouvelle-Aquitaine,Nouvelle-Aquitaine,844.8685263901588,844.8685263901588,844.8685263901588,844.8685263901588,point_complete_observed
2023,75,Nouvelle-Aquitaine,Nouvelle-Aquitaine,993.0427061772469,993.0427061772469,993.0427061772469,993.0427061772469,point_complete_observed
2024,75,Nouvelle-Aquitaine,Nouvelle-Aquitaine,1019.8139693504339,1019.8139693504339,1019.8139693504339,1019.8139693504339,point_complete_observed
2025,75,Nouvelle-Aquitaine,Nouvelle-Aquitaine,1229.8964567024368,1229.8964567024368,1229.8964567024368,1229.8964567024368,point_complete_observed
2020,76,Occitanie,Occitanie,,568.7466310881712,571.2574969798465,570.0020640340088,interval_due_to_unknown_age
2021,76,Occitanie,Occitanie,695.2367676292504,695.2367676292504,695.2367676292504,695.2367676292504,point_complete_observed
2022,76,Occitanie,Occitanie,833.6955933725839,833.6955933725839,833.6955933725839,833.6955933725839,point_complete_observed
2023,76,Occitanie,Occitanie,986.5396798554398,986.5396798554398,986.5396798554398,986.5396798554398,point_complete_observed
2024,76,Occitanie,Occitanie,1007.3411034066978,1007.3411034066978,1007.3411034066978,1007.3411034066978,point_complete_observed
2025,76,Occitanie,Occitanie,1209.0609808021532,1209.0609808021532,1209.0609808021532,1209.0609808021532,point_complete_observed
2020,84,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,572.0438826761344,572.0438826761344,572.0438826761344,572.0438826761344,point_with_structural_zero
2021,84,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,687.4134103654555,687.4134103654555,687.4134103654555,687.4134103654555,point_complete_observed
