study_year,region_code,region_name,age_code,age_group,sex_code,sex,cell_status,beneficiaries,beneficiary_lower_bound,beneficiary_upper_bound,population_average,beneficiary_rate_per_100000,beneficiary_rate_lower_per_100000,beneficiary_rate_upper_per_100000
2022,93,Provence-Alpes-Côte d'Azur and Corse,20,20-59 years,1,Male,observed,9092,9092,9092,1298506.5,700.1890248527828,700.1890248527828,700.1890248527828
2023,93,Provence-Alpes-Côte d'Azur and Corse,20,20-59 years,1,Male,observed,10866,10866,10866,1305807.5,832.1287785527346,832.1287785527346,832.1287785527346
2024,93,Provence-Alpes-Côte d'Azur and Corse,20,20-59 years,1,Male,observed,11280,11280,11280,1310311,860.8643291554448,860.8643291554448,860.8643291554448
2025,93,Provence-Alpes-Côte d'Azur and Corse,20,20-59 years,1,Male,observed,13630,13630,13630,1314964.5,1036.5298835063609,1036.5298835063609,1036.5298835063609
2020,93,Provence-Alpes-Côte d'Azur and Corse,20,20-59 years,2,Female,observed,5503,5503,5503,1347737,408.31408501807107,408.31408501807107,408.31408501807107
2021,93,Provence-Alpes-Côte d'Azur and Corse,20,20-59 years,2,Female,observed,6616,6616,6616,1354879,488.3092881356933,488.3092881356933,488.3092881356933
2022,93,Provence-Alpes-Côte d'Azur and Corse,20,20-59 years,2,Female,observed,8207,8207,8207,1363900,601.7303321357871,601.7303321357871,601.7303321357871
2023,93,Provence-Alpes-Côte d'Azur and Corse,20,20-59 years,2,Female,observed,10150,10150,10150,1369905,740.9272905785438,740.9272905785438,740.9272905785438
2024,93,Provence-Alpes-Côte d'Azur and Corse,20,20-59 years,2,Female,observed,11093,11093,11093,1371818,808.634964696483,808.634964696483,808.634964696483
2025,93,Provence-Alpes-Côte d'Azur and Corse,20,20-59 years,2,Female,observed,14029,14029,14029,1373907,1021.1025928246962,1021.1025928246962,1021.1025928246962
2020,93,Provence-Alpes-Côte d'Azur and Corse,60,60 years or older,1,Male,observed,13061,13061,13061,718948.5,1816.6808888258338,1816.6808888258338,1816.6808888258338
2021,93,Provence-Alpes-Côte d'Azur and Corse,60,60 years or older,1,Male,observed,16236,16236,16236,730653,2222.121855381419,2222.121855381419,2222.121855381419
2022,93,Provence-Alpes-Côte d'Azur and Corse,60,60 years or older,1,Male,observed,20113,20113,20113,745566,2697.682029491688,2697.682029491688,2697.682029491688
2023,93,Provence-Alpes-Côte d'Azur and Corse,60,60 years or older,1,Male,observed,24414,24414,24414,762568.5,3201.5484510571837,3201.5484510571837,3201.5484510571837
2024,93,Provence-Alpes-Côte d'Azur and Corse,60,60 years or older,1,Male,observed,26074,26074,26074,779847.5,3343.4742048926237,3343.4742048926237,3343.4742048926237
2025,93,Provence-Alpes-Côte d'Azur and Corse,60,60 years or older,1,Male,observed,30599,30599,30599,797401,3837.3415634041094,3837.3415634041094,3837.3415634041094
2020,93,Provence-Alpes-Côte d'Azur and Corse,60,60 years or older,2,Female,observed,10433,10433,10433,915451.5,1139.6562242784025,1139.6562242784025,1139.6562242784025
2021,93,Provence-Alpes-Côte d'Azur and Corse,60,60 years or older,2,Female,observed,12880,12880,12880,929522,1385.6584351957242,1385.6584351957242,1385.6584351957242
2022,93,Provence-Alpes-Côte d'Azur and Corse,60,60 years or older,2,Female,observed,15875,15875,15875,945556,1678.906378892419,1678.906378892419,1678.906378892419
2023,93,Provence-Alpes-Côte d'Azur and Corse,60,60 years or older,2,Female,observed,19161,19161,19161,963357,1988.9822775980244,1988.9822775980244,1988.9822775980244
2024,93,Provence-Alpes-Côte d'Azur and Corse,60,60 years or older,2,Female,observed,20594,20594,20594,981945,2097.2661401605997,2097.2661401605997,2097.2661401605997
2025,93,Provence-Alpes-Côte d'Azur and Corse,60,60 years or older,2,Female,observed,24667,24667,24667,1001021.5,2464.1828372317677,2464.1828372317677,2464.1828372317677
