study_year,region_code,region_name,age_code,sex_code,cell_status,beneficiaries,beneficiary_lower_bound,beneficiary_upper_bound,population_average,beneficiary_rate_per_100000,beneficiary_rate_lower_per_100000,beneficiary_rate_upper_per_100000,boxes,unknown_age_beneficiaries,unknown_age_boxes,population_start_status,population_end_status,open_medic_source_file,historical_window_amendment_id,amendment_id,analysis_version,standard_population,standard_weight
2020,52,Pays de la Loire,20,1,observed,3828,3828,3828,924084,414.24805537158954,414.24805537158954,414.24805537158954,36529,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,16739998.5,0.24272477374540136
2020,52,Pays de la Loire,20,2,observed,3160,3160,3160,926228.5,341.16851295333714,341.16851295333714,341.16851295333714,30928,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,17098130,0.24791756915148225
2020,52,Pays de la Loire,60,1,observed,6967,6967,6967,465900.5,1495.3836709769575,1495.3836709769575,1495.3836709769575,75062,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8738069,0.12669928381395645
2020,52,Pays de la Loire,60,2,observed,5163,5163,5163,584795.5,882.8727307238172,882.8727307238172,882.8727307238172,55625,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,10786630,0.15640278141156097
2020,53,Bretagne,0,1,structural_zero_supported,0,0,0,400785,0,0,0,0,,,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,8007375,0.11610444798842623
2020,53,Bretagne,0,2,structural_zero_supported,0,0,0,379728,0,0,0,0,,,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,7596793.5,0.11015114388917273
2020,53,Bretagne,20,1,observed,2507,2507,2507,805181,311.35856409925225,311.35856409925225,311.35856409925225,24586,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,16739998.5,0.24272477374540136
2020,53,Bretagne,20,2,observed,1911,1911,1911,800167,238.82514525092887,238.82514525092887,238.82514525092887,18968,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,17098130,0.24791756915148225
2020,53,Bretagne,60,1,observed,4765,4765,4765,439464.5,1084.2741563880586,1084.2741563880586,1084.2741563880586,52654,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8738069,0.12669928381395645
2020,53,Bretagne,60,2,observed,3294,3294,3294,558875.5,589.3978175819122,589.3978175819122,589.3978175819122,36049,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,10786630,0.15640278141156097
2020,75,Nouvelle-Aquitaine,0,1,structural_zero_supported,0,0,0,666260.5,0,0,0,0,,,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,8007375,0.11610444798842623
2020,75,Nouvelle-Aquitaine,0,2,ambiguous_due_to_unknown_age,,0,12,632559.5,,0,1.8970547434668201,,12,111,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,7596793.5,0.11015114388917273
2020,75,Nouvelle-Aquitaine,20,1,observed,6604,6604,6604,1413714,467.13833208131206,467.13833208131206,467.13833208131206,66566,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,16739998.5,0.24272477374540136
2020,75,Nouvelle-Aquitaine,20,2,observed,5250,5250,5250,1453268,361.2547720035121,361.2547720035121,361.2547720035121,52897,12,111,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,17098130,0.24791756915148225
2020,75,Nouvelle-Aquitaine,60,1,observed,14078,14078,14078,834710.5,1686.5727698405615,1686.5727698405615,1686.5727698405615,153376,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8738069,0.12669928381395645
2020,75,Nouvelle-Aquitaine,60,2,observed,10904,10904,10904,1051139.5,1037.3504182841573,1037.3504182841573,1037.3504182841573,120453,12,111,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,10786630,0.15640278141156097
2020,76,Occitanie,0,1,ambiguous_due_to_unknown_age,,0,49,683536.5,,0,7.168600360039295,,49,281,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,8007375,0.11610444798842623
2020,76,Occitanie,0,2,ambiguous_due_to_unknown_age,,0,99,649662,,0,15.238693351311914,,99,829,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,7596793.5,0.11015114388917273
2020,76,Occitanie,20,1,observed,6117,6117,6117,1425640,429.0704525686709,429.0704525686709,429.0704525686709,58476,49,281,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,16739998.5,0.24272477374540136
2020,76,Occitanie,20,2,observed,5109,5109,5109,1469886,347.5779754348296,347.5779754348296,347.5779754348296,48888,99,829,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,17098130,0.24791756915148225
2020,76,Occitanie,60,1,observed,13352,13352,13352,789309.5,1691.6051308137048,1691.6051308137048,1691.6051308137048,141065,49,281,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8738069,0.12669928381395645
2020,76,Occitanie,60,2,observed,10283,10283,10283,980038.5,1049.2444939663085,1049.2444939663085,1049.2444939663085,109822,99,829,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,10786630,0.15640278141156097
2020,84,Auvergne-Rhône-Alpes,0,1,structural_zero_supported,0,0,0,1002465.5,0,0,0,0,,,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,8007375,0.11610444798842623
2020,84,Auvergne-Rhône-Alpes,0,2,structural_zero_supported,0,0,0,951639,0,0,0,0,,,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,7596793.5,0.11015114388917273
2020,84,Auvergne-Rhône-Alpes,20,1,observed,9006,9006,9006,1996787.5,451.0244580357199,451.0244580357199,451.0244580357199,88546,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,16739998.5,0.24272477374540136
2020,84,Auvergne-Rhône-Alpes,20,2,observed,7063,7063,7063,2022237,349.2666784358114,349.2666784358114,349.2666784358114,69504,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,17098130,0.24791756915148225
2020,84,Auvergne-Rhône-Alpes,60,1,observed,15530,15530,15530,942026.5,1648.573580467216,1648.573580467216,1648.573580467216,166207,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8738069,0.12669928381395645
2020,84,Auvergne-Rhône-Alpes,60,2,observed,12622,12622,12622,1181351,1068.437746275239,1068.437746275239,1068.437746275239,136015,,,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,10786630,0.15640278141156097
2020,93,Provence-Alpes-Côte d'Azur and Corse,0,1,ambiguous_due_to_unknown_age,,0,22,617087,,0,3.5651374927684425,,22,205,not_specified,definitive,,001,002,sap-v1.0-amendments-001-002,8007375,0.11610444798842623
2020,93,Provence-Alpes-Côte d'Azur and Corse,0,2,observed,12,12,12,583354.5,2.0570682149533432,2.0570682149533432,2.0570682149533432,52,86,792,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,7596793.5,0.11015114388917273
2020,93,Provence-Alpes-Côte d'Azur and Corse,20,1,observed,6228,6228,6228,1276323.5,487.96406240267453,487.96406240267453,487.96406240267453,56969,22,205,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,16739998.5,0.24272477374540136
2020,93,Provence-Alpes-Côte d'Azur and Corse,20,2,observed,5503,5503,5503,1347737,408.31408501807107,408.31408501807107,408.31408501807107,50872,86,792,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,17098130,0.24791756915148225
2020,93,Provence-Alpes-Côte d'Azur and Corse,60,1,observed,13061,13061,13061,718948.5,1816.6808888258338,1816.6808888258338,1816.6808888258338,134221,22,205,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8738069,0.12669928381395645
2020,93,Provence-Alpes-Côte d'Azur and Corse,60,2,observed,10433,10433,10433,915451.5,1139.6562242784025,1139.6562242784025,1139.6562242784025,108050,86,792,not_specified,definitive,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,10786630,0.15640278141156097
2021,11,Île-de-France,0,1,observed,42,42,42,1586378.5,2.647539663453583,2.647539663453583,2.647539663453583,157,,,definitive,definitive,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8007375,0.11610444798842623
2021,11,Île-de-France,0,2,observed,75,75,75,1522282.5,4.926812204699194,4.926812204699194,4.926812204699194,315,,,definitive,definitive,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,7596793.5,0.11015114388917273
2021,11,Île-de-France,20,1,observed,17473,17473,17473,3250861.5,537.4882934877417,537.4882934877417,537.4882934877417,152269,,,definitive,definitive,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,16739998.5,0.24272477374540136
