study_year,region_code,region_name,age_code,sex_code,cell_status,beneficiaries,beneficiary_lower_bound,beneficiary_upper_bound,population_average,beneficiary_rate_per_100000,beneficiary_rate_lower_per_100000,beneficiary_rate_upper_per_100000,boxes,unknown_age_beneficiaries,unknown_age_boxes,population_start_status,population_end_status,open_medic_source_file,historical_window_amendment_id,amendment_id,analysis_version,standard_population,standard_weight,metropolitan_median_cell_rate,metropolitan_max_cell_rate,overseas_to_metro_median_cell_rate_ratio,overseas_exceeds_metro_max
2023,5,Overseas regions and departments,20,1,observed,6424.0,6424.0,6424.0,487729.0,1317.1248787748934,1317.1248787748934,1317.1248787748934,54119.0,,,definitive,provisional,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,16739998.5,0.24272477374540136,804.1146293392139,1124.873575435809,1.637981490098307,True
2023,5,Overseas regions and departments,20,2,observed,11904.0,11904.0,11904.0,582137.0,2044.8794699529492,2044.8794699529492,2044.8794699529492,102083.0,,,definitive,provisional,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,17098130.0,0.24791756915148225,710.1503075665408,943.5103909839211,2.8795023365688603,True
2023,5,Overseas regions and departments,60,1,observed,7967.0,7967.0,7967.0,215033.0,3705.0127189780173,3705.0127189780173,3705.0127189780173,75124.0,,,definitive,provisional,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8738069.0,0.12669928381395645,3119.9379885947938,4402.357595323969,1.1875276792429899,False
2023,5,Overseas regions and departments,60,2,observed,12158.0,12158.0,12158.0,257362.0,4724.085140774473,4724.085140774473,4724.085140774473,118806.0,,,definitive,provisional,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,10786630.0,0.15640278141156097,1980.4452480648056,2978.108255498905,2.3853651825975084,True
2024,5,Overseas regions and departments,0,1,observed,28.0,28.0,28.0,356499.0,7.854159478708215,7.854159478708215,7.854159478708215,82.0,,,provisional,provisional,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8007375.0,0.11610444798842623,3.0779749911033143,10.262477381403036,2.5517294654472993,False
2024,5,Overseas regions and departments,0,2,observed,88.0,88.0,88.0,349536.5,25.176197621707608,25.176197621707608,25.176197621707608,352.0,,,provisional,provisional,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,7596793.5,0.11015114388917273,5.50884201204096,15.883175208247945,4.5701433380515715,True
2024,5,Overseas regions and departments,20,1,observed,7038.0,7038.0,7038.0,486423.5,1446.8873317181426,1446.8873317181426,1446.8873317181426,59761.0,,,provisional,provisional,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,16739998.5,0.24272477374540136,806.7396617854635,1094.139814082588,1.7934996880107696,True
2024,5,Overseas regions and departments,20,2,observed,13123.0,13123.0,13123.0,581824.0,2255.4930700692994,2255.4930700692994,2255.4930700692994,114383.0,,,provisional,provisional,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,17098130.0,0.24791756915148225,742.2850612399408,937.6117226376743,3.0385807122423283,True
2024,5,Overseas regions and departments,60,1,observed,9089.0,9089.0,9089.0,224188.5,4054.177622848629,4054.177622848629,4054.177622848629,86831.0,,,provisional,provisional,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8738069.0,0.12669928381395645,3194.700671836071,4440.904068775927,1.2690320750828266,False
2024,5,Overseas regions and departments,60,2,observed,13759.0,13759.0,13759.0,267516.0,5143.243768597019,5143.243768597019,5143.243768597019,136275.0,,,provisional,provisional,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,10786630.0,0.15640278141156097,2046.7052685551,2972.353833492941,2.512938158520481,True
2025,5,Overseas regions and departments,0,1,observed,31.0,31.0,31.0,355416.5,8.722161182725056,8.722161182725056,8.722161182725056,105.0,,,provisional,early,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8007375.0,0.11610444798842623,4.806979307126029,12.19802672192043,1.81447862065789,False
2025,5,Overseas regions and departments,0,2,observed,94.0,94.0,94.0,348149.5,26.99989515998156,26.99989515998156,26.99989515998156,410.0,,,provisional,early,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,7596793.5,0.11015114388917273,8.980102510795934,20.628670652380006,3.0066355175257877,True
2025,5,Overseas regions and departments,20,1,observed,7627.0,7627.0,7627.0,485073.5,1572.3390372799174,1572.3390372799174,1572.3390372799174,64911.0,,,provisional,early,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,16739998.5,0.24272477374540136,955.7084175168461,1281.467838368426,1.6452078986237475,True
2025,5,Overseas regions and departments,20,2,observed,14515.0,14515.0,14515.0,581547.5,2495.9268159522653,2495.9268159522653,2495.9268159522653,123661.0,,,provisional,early,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,17098130.0,0.24791756915148225,932.9370189951435,1134.036121676216,2.6753433137861777,True
2025,5,Overseas regions and departments,60,1,observed,10246.0,10246.0,10246.0,233490.5,4388.18709968928,4388.18709968928,4388.18709968928,95977.0,,,provisional,early,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,8738069.0,0.12669928381395645,3719.3516031714144,4958.72150974439,1.1798258319938248,False
2025,5,Overseas regions and departments,60,2,observed,15540.0,15540.0,15540.0,277622.5,5597.529018721465,5597.529018721465,5597.529018721465,150857.0,,,provisional,early,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe_reg.CSV.gz,001,002,sap-v1.0-amendments-001-002,10786630.0,0.15640278141156097,2400.677960315289,3357.086105729295,2.331645106612435,True
