study_year,demographic_scope,age_code,age_group,sex_code,sex,beneficiaries,boxes,open_medic_source_file,population_average,population_start_status,population_end_status,beneficiary_rate_per_100000,beneficiary_rate_index_2020,beneficiary_rate_percentage_change,beneficiary_measure_status,amendment_id,analysis_version,denominator_source_file
2025,age_sex,0,0-19 years,2,Female,1024,5159,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe.CSV.gz,7596793.5,provisional,early,13.479371263678551,415.21897363670604,28.775937142637108,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2020,age_sex,20,20-59 years,1,Male,80570,783712,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe.CSV.gz,16463600.5,not_specified,definitive,489.3826231995851,100,,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2021,age_sex,20,20-59 years,1,Male,97919,919736,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe.CSV.gz,16542314.5,definitive,definitive,591.9304701890416,120.95453375908573,20.954533759085734,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2022,age_sex,20,20-59 years,1,Male,117322,1097709,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe.CSV.gz,16626588.5,definitive,definitive,705.6288185637119,144.1875508268578,19.208058057622736,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2023,age_sex,20,20-59 years,1,Male,138596,1295457,data/raw/open_medic/2023/atc4/NB_2023_atc4_age_sexe.CSV.gz,16678127.5,definitive,provisional,831.0045597145123,169.8067157107872,17.767945108307703,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2024,age_sex,20,20-59 years,1,Male,139387,1267034,data/raw/open_medic/2024/atc4/NB_2024_atc4_age_sexe.CSV.gz,16706186.5,provisional,provisional,834.3436127688387,170.48901477414495,0.4018092338113677,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2025,age_sex,20,20-59 years,1,Male,166251,1485786,data/raw/open_medic/2025/atc4/NB_2025_atc4_age_sexe.CSV.gz,16739998.5,provisional,early,993.1362897075528,202.93656591532095,19.032048008583335,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2020,age_sex,20,20-59 years,2,Female,72007,703083,data/raw/open_medic/2020/atc4/NB_2020_atc4_age_sexe.CSV.gz,16948934.5,not_specified,definitive,424.8467654412141,100,,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2021,age_sex,20,20-59 years,2,Female,87378,820353,data/raw/open_medic/2021/atc4/NB_2021_atc4_age_sexe.CSV.gz,17000502.5,definitive,definitive,513.9730428556451,120.9784526244118,20.9784526244118,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
2022,age_sex,20,20-59 years,2,Female,106962,984122,data/raw/open_medic/2022/atc4/NB_2022_atc4_age_sexe.CSV.gz,17059709.5,definitive,definitive,626.9860574120561,147.57934116808335,21.988120997262484,direct_atc4_age_sex,001,sap-v1.0-amendment-001,data/interim/insee/full/insee_annual_denominators.parquet
