study_year,region_code,region_name,observed_cells,structural_zero_cells,ambiguous_cells,standardised_rate_per_100000,standardised_rate_lower_per_100000,standardised_rate_upper_per_100000,standardisation_status,crude_rate_per_100000,standard_population_year,standard_population_scope,historical_window_amendment_id,amendment_id,analysis_version
2023,11,Île-de-France,6,0,0,1083.1537122053148,1083.1537122053148,1083.1537122053148,point_complete_observed,953.1205266159108,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2023,24,Centre-Val de Loire,6,0,0,1169.7749163473725,1169.7749163473725,1169.7749163473725,point_complete_observed,1202.8513032853677,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2023,27,Bourgogne-Franche-Comté,5,1,0,1266.3697391743756,1266.3697391743756,1266.3697391743756,point_with_structural_zero,1332.5361200103519,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2023,28,Normandie,5,1,0,1089.4808189773555,1089.4808189773555,1089.4808189773555,point_with_structural_zero,1110.8618298196122,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2023,32,Hauts-de-France,6,0,0,1531.8827287057215,1531.8827287057215,1531.8827287057215,point_complete_observed,1440.1929720640405,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2023,44,Grand Est,6,0,0,1318.0041295570072,1318.0041295570072,1318.0041295570072,point_complete_observed,1324.9364818379195,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2023,5,Overseas regions and departments,6,0,0,2037.6333720724106,2037.6333720724106,2037.6333720724106,point_complete_observed,1713.7315082820573,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2023,52,Pays de la Loire,6,0,0,909.73612693245,909.73612693245,909.73612693245,point_complete_observed,902.090329788243,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2023,53,Bretagne,4,2,0,670.189105477155,670.189105477155,670.189105477155,point_with_structural_zero,695.4102719710897,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2023,75,Nouvelle-Aquitaine,6,0,0,993.0427061772469,993.0427061772469,993.0427061772469,point_complete_observed,1067.453887081896,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2023,76,Occitanie,6,0,0,986.5396798554398,986.5396798554398,986.5396798554398,point_complete_observed,1029.752845322599,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2023,84,Auvergne-Rhône-Alpes,6,0,0,967.3420505593858,967.3420505593858,967.3420505593858,point_complete_observed,941.6870409997828,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2023,93,Provence-Alpes-Côte d'Azur and Corse,6,0,0,1104.5892331506384,1104.5892331506384,1104.5892331506384,point_complete_observed,1159.7010846316273,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2024,11,Île-de-France,6,0,0,1140.7597279990764,1140.7597279990764,1140.7597279990764,point_complete_observed,1012.9773000016363,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2024,24,Centre-Val de Loire,6,0,0,1172.587063825335,1172.587063825335,1172.587063825335,point_complete_observed,1213.798550010123,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2024,27,Bourgogne-Franche-Comté,5,1,0,1253.574530555811,1253.574530555811,1253.574530555811,point_with_structural_zero,1329.6985666398311,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2024,28,Normandie,4,2,0,1094.0078644622342,1094.0078644622342,1094.0078644622342,point_with_structural_zero,1125.1440684113386,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2024,32,Hauts-de-France,6,0,0,1526.9011680338194,1526.9011680338194,1526.9011680338194,point_complete_observed,1448.551953971334,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2024,44,Grand Est,6,0,0,1326.5622586899917,1326.5622586899917,1326.5622586899917,point_complete_observed,1345.5997562752461,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2024,5,Overseas regions and departments,6,0,0,2232.13588136921,2232.13588136921,2232.13588136921,point_complete_observed,1903.1437728584115,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2024,52,Pays de la Loire,6,0,0,922.3712488035749,922.3712488035749,922.3712488035749,point_complete_observed,922.0513120170524,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2024,53,Bretagne,4,2,0,704.1683573431568,704.1683573431568,704.1683573431568,point_with_structural_zero,737.150061007653,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2024,75,Nouvelle-Aquitaine,6,0,0,1019.8139693504339,1019.8139693504339,1019.8139693504339,point_complete_observed,1104.8418410673876,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2024,76,Occitanie,6,0,0,1007.3411034066978,1007.3411034066978,1007.3411034066978,point_complete_observed,1059.68228122764,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2024,84,Auvergne-Rhône-Alpes,6,0,0,965.756545306002,965.756545306002,965.756545306002,point_complete_observed,948.1947488260994,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2024,93,Provence-Alpes-Côte d'Azur and Corse,6,0,0,1163.353345354302,1163.353345354302,1163.353345354302,point_complete_observed,1231.2395185428918,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2025,11,Île-de-France,6,0,0,1323.1813907544588,1323.1813907544588,1323.1813907544588,point_complete_observed,1188.3013658640962,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2025,24,Centre-Val de Loire,6,0,0,1395.3654435173,1395.3654435173,1395.3654435173,point_complete_observed,1451.4469274519893,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2025,27,Bourgogne-Franche-Comté,5,1,0,1464.2744017024504,1464.2744017024504,1464.2744017024504,point_with_structural_zero,1561.1023657819526,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2025,28,Normandie,5,1,0,1296.9113895831088,1296.9113895831088,1296.9113895831088,point_with_structural_zero,1342.310507780503,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2025,32,Hauts-de-France,6,0,0,1747.1649451613903,1747.1649451613903,1747.1649451613903,point_complete_observed,1675.3137779558501,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2025,44,Grand Est,6,0,0,1568.1796923756413,1568.1796923756413,1568.1796923756413,point_complete_observed,1604.156898247823,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2025,5,Overseas regions and departments,6,0,0,2435.865767444098,2435.865767444098,2435.865767444098,point_complete_observed,2106.386709332398,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2025,52,Pays de la Loire,6,0,0,1093.1302387671137,1093.1302387671137,1093.1302387671137,point_complete_observed,1101.1322171495533,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2025,53,Bretagne,4,2,0,868.1991852659177,868.1991852659177,868.1991852659177,point_with_structural_zero,915.033053258107,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2025,75,Nouvelle-Aquitaine,6,0,0,1229.8964567024368,1229.8964567024368,1229.8964567024368,point_complete_observed,1339.2519792817948,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2025,76,Occitanie,6,0,0,1209.0609808021532,1209.0609808021532,1209.0609808021532,point_complete_observed,1279.4635128527357,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2025,84,Auvergne-Rhône-Alpes,6,0,0,1160.7348288101084,1160.7348288101084,1160.7348288101084,point_complete_observed,1149.9715898103204,2025,France_entire,001,002,sap-v1.0-amendments-001-002
2025,93,Provence-Alpes-Côte d'Azur and Corse,6,0,0,1379.9660513528881,1379.9660513528881,1379.9660513528881,point_complete_observed,1469.7586808460467,2025,France_entire,001,002,sap-v1.0-amendments-001-002
