study_year,region_code,region_name,beneficiaries,boxes,reimbursement_base_eur,reimbursed_expenditure_eur,open_medic_source_file,population_average,denominator_strata,beneficiary_rate_per_100000,boxes_per_100000,beneficiaries_absolute_change,beneficiaries_percentage_change,beneficiary_rate_absolute_change,beneficiary_rate_percentage_change,boxes_percentage_change,beneficiary_measure_status,additive_measure_status,historical_window_amendment_id,amendment_id,analysis_version,denominator_source_file
2021,93,Provence-Alpes-Côte d'Azur and Corse,43413,413810,33418725.22,32781201.9,data/raw/open_medic/2021/atc4/NB_2021_atc4_reg.CSV.gz,5498512.5,6,789.5408076275176,7525.853583128164,8068,22.826425236950065,142.06627886697186,21.941601183745085,17.840534683521227,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2022,11,Île-de-France,97399,905012,73231926.02,69863248.19,data/raw/open_medic/2022/atc4/NB_2022_atc4_reg.CSV.gz,12422015.5,6,784.0837100871432,7285.5487903714165,19421,24.905742645361517,152.63798336075217,24.17277952803236,24.11059821886512,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2022,24,Centre-Val de Loire,25632,252739,20451249.07,20072750.66,data/raw/open_medic/2022/atc4/NB_2022_atc4_reg.CSV.gz,2584314,6,991.8299401698092,9779.73264858682,5330,26.2535710767412,204.15219666363055,25.918238562243843,26.895481771944716,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2022,27,Bourgogne-Franche-Comté,31261,318347,25878958,25405043.74,data/raw/open_medic/2022/atc4/NB_2022_atc4_reg.CSV.gz,2803323.5,6,1115.1406535849321,11356.05648081643,5518,21.434953191158755,196.43207028153188,21.381325248450512,19.317334252849427,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2022,28,Normandie,31603,321111,25924949.68,25490124.07,data/raw/open_medic/2022/atc4/NB_2022_atc4_reg.CSV.gz,3342458,6,945.5017834180713,9607.031711393232,5365,20.447442640445157,158.40586078973865,20.125356546223404,21.15567461515242,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2022,32,Hauts-de-France,72771,753511,61146714.53,59888444.78,data/raw/open_medic/2022/atc4/NB_2022_atc4_reg.CSV.gz,5995555,6,1213.7491858551878,12567.827332081852,12614,20.968465847698514,210.64835585457422,20.999719026694997,19.552165869663863,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2022,44,Grand Est,61187,621515,50388017.41,49307384.76,data/raw/open_medic/2022/atc4/NB_2022_atc4_reg.CSV.gz,5561728.5,6,1100.1435974445715,11174.853285269139,11636,23.482876228532223,209.04802519202622,23.459663778104822,23.292739294223132,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2022,5,Overseas regions and departments,31549,294056,30692506.12,29968352.73,data/raw/open_medic/2022/atc4/NB_2022_atc4_reg.CSV.gz,2226490,6,1416.9836828371112,13207.155657559657,5727,22.178762295716826,244.80954084797418,20.88508286256352,20.430847360445583,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2022,52,Pays de la Loire,29749,301174,24340898.05,23938342.53,data/raw/open_medic/2022/atc4/NB_2022_atc4_reg.CSV.gz,3893186,6,764.1299439584957,7735.926308170224,5780,24.11448120488966,144.2325274247513,23.267160594288416,24.482929651979823,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
2022,53,Bretagne,19865,202733,16515446.05,16227989.24,data/raw/open_medic/2022/atc4/NB_2022_atc4_reg.CSV.gz,3436107.5,6,578.1251023141738,5900.07734042081,4081,25.85529650278764,115.07548759234095,24.85165389058148,24.37149552777198,direct_atc4_region,direct_atc4_region,001,002,sap-v1.0-amendments-001-002,data/interim/insee/full/insee_annual_denominators.parquet
